file_name	seed	formula_x	formula_y
2021-10-12-12-46_seed_33.png	33	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_1768.png	1768	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_1275.png	1275	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_6810.png	6810	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_8956.png	8956	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_9329.png	9329	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_3207.png	3207	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_30.png	30	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_3892.png	3892	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_2960.png	2960	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_6615.png	6615	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_9679.png	9679	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_4693.png	4693	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_5653.png	5653	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_6018.png	6018	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_2354.png	2354	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_5802.png	5802	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_1501.png	1501	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_7227.png	7227	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_9685.png	9685	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_7669.png	7669	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_7206.png	7206	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_5154.png	5154	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_5240.png	5240	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_6148.png	6148	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_9972.png	9972	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-47_seed_3978.png	3978	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
